City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
677,Garowe,SO,8.4054,48.4845,74.55,60,58,27.72,broken clouds
678,Matagami,CA,49.7502,-77.6328,64.51,77,100,6.91,overcast clouds
679,Stornoway,GB,58.2093,-6.3865,57.92,92,75,10.36,broken clouds
680,Kruisfontein,ZA,-34.0033,24.7314,61.84,29,11,11.86,few clouds
681,Lujan,AR,-34.5703,-59.105,42.51,78,2,1.99,clear sky
682,Hovd,MN,48.0056,91.6419,75.29,25,4,0.38,clear sky
683,Morant Bay,JM,17.8815,-76.4093,82.02,83,2,8.48,clear sky
684,Lauro Muller,BR,-28.3928,-49.3967,67.8,63,80,6.02,broken clouds
685,Lawton,US,34.6087,-98.3903,90.07,38,0,9.22,clear sky
686,Conde,BR,-7.2597,-34.9075,72.86,100,75,6.91,broken clouds
687,Abu Samrah,SY,35.3029,37.1841,73.65,54,0,8.01,clear sky
688,Jaque,PA,7.5175,-78.1703,78.85,86,100,2.44,light rain
689,Morehead,US,37.2711,-87.1764,80.78,93,0,0.0,clear sky
690,Magdagachi,RU,53.45,125.8,82.81,56,15,2.64,light rain
691,Aste,IT,45.7906,11.0961,68.83,93,9,3.71,clear sky
692,Usinsk,RU,65.9939,57.5281,69.19,78,100,5.39,overcast clouds
693,Lavumisa,SZ,-27.31,31.892,57.51,87,57,2.73,broken clouds
694,Ballina,AU,-28.8667,153.5667,72.01,47,0,10.04,clear sky
695,Alyangula,AU,-13.8483,136.4192,74.48,70,86,9.15,overcast clouds
696,Koath,IN,25.3167,84.2667,96.82,43,1,15.57,clear sky
697,Skibbereen,IE,51.55,-9.2667,64.11,93,99,7.18,overcast clouds
698,Sevierville,US,35.8681,-83.5618,79.14,78,0,0.0,clear sky
699,Sisophon,KH,13.5859,102.9737,90.1,59,67,9.1,broken clouds
700,Tilichiki,RU,60.4667,166.1,63.93,66,98,6.85,overcast clouds
701,Lisakovsk,KZ,52.5369,62.4936,72.1,64,29,13.02,scattered clouds
702,Erdenet,MN,49.0333,104.0833,70.47,44,2,6.38,clear sky
703,Londa,IN,15.4691,74.5191,74.53,96,100,8.99,light rain
704,Qena,EG,26.1615,32.7183,79.88,33,6,9.6,clear sky
705,Omboue,GA,-1.5746,9.2618,70.29,88,55,5.03,broken clouds
706,Gigmoto,PH,13.7796,124.39,85.71,68,100,3.15,overcast clouds
707,Qianan,CN,44.9932,124.0581,76.8,67,48,8.14,scattered clouds
708,Acarau,BR,-2.8856,-40.12,78.75,80,10,16.35,clear sky
709,Ardesen,TR,41.1911,40.9875,74.28,77,100,4.79,overcast clouds
